Job;Evaluations;Productivity;Attendance;Absenteeism;Lateness;Discipline;Penalties;Innovation;Problem Solving;Work Quality;Work Completion Time
Administrative Officer;0,90;0,99;0,85;0,07;0,08;0,99;0,03;0,13;0,11;0,98;0,98
Administrative Officer;0,98;0,93;0,83;0,03;0,09;0,99;0,09;0,05;0,09;0,91;0,99
Administrative Officer;0,90;0,86;0,91;0,04;0,08;0,98;0,04;0,07;0,05;0,91;0,97
Administrative Officer;0,89;0,96;0,95;0,08;0,08;1,00;0,06;0,16;0,09;1,00;0,98
Administrative Officer;0,87;1,00;0,88;0,03;0,00;0,98;0,08;0,06;0,09;0,96;0,91
Administrative Officer;0,97;0,86;0,94;0,09;0,08;1,00;0,00;0,12;0,12;0,91;0,94
Administrative Officer;0,92;0,96;0,86;0,10;0,10;0,95;0,06;0,10;0,05;0,96;0,94
Administrative Officer;0,97;0,84;0,83;0,04;0,02;1,00;0,06;0,19;0,07;0,92;0,95
Administrative Officer;0,86;0,84;0,97;0,08;0,09;0,96;0,05;0,19;0,02;0,95;0,97
Administrative Officer;0,92;0,95;0,90;0,01;0,03;1,00;0,05;0,03;0,04;1,00;0,95
Administrative Officer;0,86;0,82;0,99;0,10;0,10;0,99;0,02;0,11;0,12;0,96;1,00
Administrative Officer;0,99;0,89;0,85;0,09;0,05;0,99;0,08;0,09;0,07;0,93;0,99
Administrative Officer;0,98;0,83;0,93;0,09;0,04;0,97;0,09;0,17;0,02;0,94;0,96
Administrative Officer;0,94;0,94;0,84;0,09;0,04;0,96;0,00;0,03;0,05;0,95;1,00
Administrative Officer;1,00;0,92;0,81;0,02;0,09;0,96;0,07;0,13;0,07;0,93;0,91
Administrative Officer;0,81;0,99;0,90;0,05;0,05;1,00;0,07;0,17;0,07;0,92;0,94
Administrative Officer;0,89;0,84;0,86;0,10;0,02;0,95;0,09;0,10;0,09;0,96;0,94
Administrative Officer;0,82;0,91;0,92;0,08;0,02;0,99;0,03;0,09;0,04;0,98;0,94
Administrative Officer;0,84;0,92;0,94;0,08;0,07;0,99;0,00;0,12;0,09;0,91;0,98
Administrative Officer;0,94;0,87;0,82;0,06;0,01;0,97;0,07;0,12;0,01;0,89;0,98
Administrative Officer;0,93;0,91;0,99;0,05;0,07;1,00;0,05;0,01;0,11;1,00;0,96
Administrative Officer;0,92;0,92;0,93;0,03;0,03;0,96;0,01;0,17;0,07;0,90;0,95
Administrative Officer;0,90;0,87;0,83;0,05;0,03;0,97;0,00;0,03;0,03;0,90;1,00
Administrative Officer;0,90;0,84;0,92;0,02;0,07;0,95;0,05;0,20;0,09;0,93;0,95
Administrative Officer;0,87;0,96;0,88;0,03;0,10;0,98;0,08;0,10;0,04;0,96;0,99
Administrative Officer;0,84;0,86;0,84;0,06;0,02;0,99;0,07;0,05;0,04;0,98;0,96
Administrative Officer;0,80;0,97;0,83;0,07;0,07;0,96;0,06;0,07;0,04;0,97;0,91
Administrative Officer;0,93;0,89;0,95;0,01;0,06;0,99;0,08;0,14;0,11;0,95;0,94
Administrative Officer;0,97;0,90;0,87;0,01;0,03;0,99;0,05;0,20;0,04;0,98;0,95
Administrative Officer;0,83;0,92;0,83;0,03;0,02;0,99;0,07;0,05;0,06;0,94;0,92
Administrative Officer;0,94;1,00;0,99;0,08;0,00;1,00;0,07;0,15;0,02;0,99;0,96
Administrative Officer;0,90;0,85;0,94;0,03;0,10;0,99;0,07;0,12;0,11;0,93;0,97
Administrative Officer;0,99;1,00;0,97;0,04;0,01;0,96;0,02;0,16;0,10;1,00;0,93
Administrative Officer;0,87;1,00;0,82;0,03;0,10;0,97;0,05;0,04;0,03;0,94;0,91
Administrative Officer;0,85;0,86;0,98;0,02;0,02;0,99;0,07;0,10;0,10;0,98;0,94
Administrative Officer;0,82;0,94;0,95;0,05;0,04;0,98;0,00;0,06;0,04;0,92;0,93
Administrative Officer;0,81;0,91;0,91;0,07;0,02;0,99;0,05;0,08;0,11;1,00;1,00
Aide Cook;0,80;0,99;0,84;0,00;0,08;1,00;0,01;0,05;0,05;0,96;0,88
Aide Cook;0,99;0,81;0,78;0,02;0,00;0,96;0,00;0,04;0,04;0,95;0,84
Aide Cook;0,97;0,76;0,87;0,06;0,05;0,98;0,04;0,02;0,05;0,96;0,92
Aide Cook;0,79;0,71;0,71;0,02;0,02;0,96;0,05;0,02;0,00;0,95;0,89
Aide Cook;0,77;0,72;0,77;0,01;0,02;0,90;0,06;0,03;0,00;1,00;0,84
Aide Cook;0,93;0,91;0,78;0,02;0,10;0,98;0,01;0,10;0,00;1,00;0,97
Aide Cook;0,83;0,83;0,99;0,07;0,06;0,96;0,06;0,05;0,02;0,98;0,83
Aide Cook;0,87;0,92;0,96;0,04;0,02;0,95;0,03;0,00;0,02;0,96;0,86
Aide Cook;0,92;0,91;0,87;0,03;0,03;0,99;0,01;0,04;0,05;0,92;0,83
Aide Cook;0,72;0,78;0,78;0,04;0,05;0,95;0,01;0,02;0,01;0,92;0,85
Aide Cook;0,96;0,87;0,81;0,04;0,06;0,98;0,01;0,04;0,02;0,98;0,85
Aide Cook;0,73;0,97;0,77;0,03;0,08;0,89;0,05;0,04;0,01;0,94;0,84
Aide Cook;0,92;0,85;0,74;0,02;0,07;1,00;0,06;0,08;0,00;0,99;1,00
Aide Cook;0,79;0,92;0,81;0,05;0,06;0,99;0,06;0,07;0,03;0,97;1,00
Aide Cook;0,75;0,79;0,71;0,03;0,00;0,92;0,03;0,01;0,03;0,91;0,81
Aide Cook;0,77;1,00;0,76;0,04;0,00;1,00;0,01;0,00;0,02;0,94;0,95
Aide Cook;0,76;0,71;0,75;0,04;0,03;0,91;0,04;0,00;0,02;0,99;0,95
Aide Cook;0,82;0,73;0,92;0,07;0,04;0,91;0,05;0,10;0,00;0,91;0,83
Aide Cook;0,93;1,00;0,88;0,01;0,04;0,89;0,04;0,06;0,03;0,97;0,86
Aide Cook;0,83;0,85;0,85;0,00;0,08;1,00;0,02;0,05;0,00;0,97;0,90
Aide Cook;0,95;0,73;0,76;0,05;0,08;0,99;0,06;0,03;0,05;0,97;0,95
Aide Cook;0,99;0,72;0,82;0,02;0,04;0,96;0,06;0,03;0,04;0,97;0,92
Aide Cook;0,90;1,00;0,88;0,04;0,10;0,93;0,06;0,08;0,05;1,00;0,94
Aide Cook;0,75;0,75;0,85;0,02;0,07;0,93;0,02;0,09;0,01;0,97;0,96
Aide Cook;0,90;0,85;0,88;0,03;0,04;1,00;0,00;0,02;0,00;0,96;0,90
Aide Cook;0,96;0,91;0,73;0,04;0,08;0,96;0,05;0,09;0,05;1,00;0,84
Aide Cook;0,80;0,81;0,77;0,03;0,05;0,91;0,02;0,02;0,01;0,92;0,94
Aide Cook;0,77;1,00;0,94;0,00;0,09;0,94;0,05;0,06;0,03;1,00;0,86
Aide Cook;0,88;0,96;0,81;0,01;0,01;0,93;0,01;0,03;0,01;0,95;0,92
Aide Cook;0,87;0,80;0,98;0,07;0,01;0,97;0,00;0,03;0,04;0,98;1,00
Aide Cook;0,96;0,82;0,79;0,02;0,06;0,89;0,02;0,00;0,04;0,91;1,00
Aide Cook;0,79;0,95;1,00;0,01;0,01;0,95;0,02;0,10;0,05;1,00;0,95
Aide Cook;0,85;0,76;0,97;0,06;0,06;0,94;0,03;0,05;0,04;0,96;0,89
Aide Cook;0,97;0,87;0,73;0,00;0,07;0,93;0,06;0,04;0,04;0,99;0,85
Aide Cook;0,73;0,92;0,91;0,03;0,06;0,89;0,02;0,00;0,03;0,91;0,86
Aide Cook;0,97;0,82;0,81;0,05;0,10;0,96;0,01;0,05;0,01;0,92;0,83
Aide Cook;0,76;0,72;0,90;0,03;0,06;1,00;0,05;0,04;0,03;0,98;0,88
Aide Cook;0,73;0,87;0,75;0,00;0,03;0,94;0,05;0,01;0,00;0,99;0,99
Aide Cook;0,98;0,73;1,00;0,05;0,08;1,00;0,03;0,00;0,02;0,99;0,88
Aide Cook;0,72;0,91;1,00;0,02;0,03;0,99;0,04;0,04;0,04;0,96;0,86
Aide Cook;0,84;0,71;0,84;0,03;0,04;0,98;0,00;0,07;0,01;0,96;0,92
Aide Cook;0,72;1,00;0,82;0,02;0,01;0,89;0,00;0,07;0,02;0,91;0,90
Aide Cook;0,97;0,75;0,75;0,00;0,08;1,00;0,01;0,06;0,02;0,93;0,86
Aide Cook;0,75;0,79;0,98;0,04;0,09;0,95;0,06;0,02;0,00;0,91;0,85
Aide Cook;0,81;0,85;0,99;0,04;0,06;0,91;0,06;0,10;0,04;0,98;0,81
Aide Cook;0,97;0,97;0,98;0,01;0,08;0,94;0,01;0,01;0,00;0,97;0,86
Aide Cook;0,78;0,79;0,73;0,00;0,05;0,90;0,05;0,08;0,05;0,92;0,88
Aide Cook;1,00;0,92;0,76;0,03;0,02;0,95;0,04;0,02;0,03;0,98;0,86
Aide Cook;0,75;0,71;0,94;0,05;0,09;0,99;0,06;0,05;0,04;0,97;0,81
Aide Cook;0,83;0,79;0,91;0,02;0,09;0,91;0,01;0,08;0,05;0,98;0,98
Aide Cook;0,73;0,83;0,97;0,04;0,02;0,89;0,01;0,07;0,04;0,92;0,86
Aide Cook;0,77;1,00;0,73;0,00;0,07;0,92;0,01;0,10;0,01;0,96;0,88
Aide Cook;0,72;0,94;0,72;0,04;0,09;0,92;0,02;0,01;0,01;0,93;0,96
Aide Cook;0,94;0,91;0,83;0,00;0,02;0,94;0,00;0,10;0,03;1,00;0,96
Aide Cook;0,80;0,74;0,99;0,00;0,09;0,89;0,04;0,02;0,00;0,99;0,99
Aide Cook;0,82;0,71;0,99;0,01;0,05;0,93;0,05;0,08;0,03;0,98;0,98
Aide Cook;0,83;0,76;0,72;0,07;0,08;0,95;0,03;0,05;0,03;0,96;0,99
Aide Cook;0,81;0,98;0,75;0,07;0,08;0,98;0,00;0,07;0,00;1,00;0,96
Aide Cook;0,82;0,92;0,91;0,07;0,10;0,94;0,04;0,00;0,00;0,92;0,93
Aide Cook;0,72;0,87;0,71;0,04;0,02;0,94;0,02;0,06;0,00;0,91;0,81
Aide Cook;0,72;0,98;0,99;0,05;0,04;0,99;0,01;0,03;0,05;0,92;0,83
Aide Cook;0,77;0,74;0,96;0,06;0,06;0,97;0,05;0,01;0,00;0,99;0,84
Aide Cook;0,88;0,76;0,71;0,01;0,05;1,00;0,06;0,08;0,03;0,98;1,00
Aide Cook;0,81;0,91;0,98;0,06;0,03;0,92;0,04;0,04;0,04;0,95;0,91
Aide Cook;0,91;0,80;0,72;0,01;0,02;0,99;0,04;0,04;0,04;0,91;0,93
Aide Cook;0,79;0,96;0,95;0,05;0,04;0,99;0,05;0,00;0,02;0,97;0,89
Aide Cook;0,80;0,73;0,91;0,01;0,01;0,94;0,02;0,03;0,01;0,91;0,83
Aide Cook;0,77;0,86;0,78;0,00;0,00;1,00;0,00;0,01;0,02;0,97;0,91
Aide Cook;1,00;0,95;1,00;0,01;0,02;0,90;0,00;0,10;0,04;0,97;0,99
Aide Cook;1,00;1,00;0,99;0,07;0,08;0,95;0,03;0,09;0,04;0,97;0,90
Aide Cook;0,94;0,95;0,90;0,04;0,10;1,00;0,00;0,01;0,01;0,94;0,85
Aide Cook;0,78;0,74;0,93;0,06;0,02;0,92;0,01;0,01;0,00;0,95;0,82
Aide Cook;0,88;0,93;0,78;0,07;0,07;1,00;0,01;0,06;0,03;0,97;0,96
Aide Cook;0,89;0,73;1,00;0,00;0,09;0,93;0,01;0,09;0,01;0,99;0,91
Aide Cook;0,82;0,80;0,87;0,04;0,02;0,98;0,02;0,09;0,00;0,96;0,87
Aide Cook;0,86;0,96;0,87;0,03;0,00;0,98;0,02;0,02;0,04;0,96;0,88
Aide Cook;0,97;0,81;0,77;0,05;0,00;0,94;0,01;0,06;0,03;0,92;0,99
Aide Cook;0,96;0,92;0,92;0,00;0,02;0,91;0,05;0,02;0,01;1,00;0,83
Aide Cook;0,87;0,90;0,89;0,01;0,03;0,90;0,04;0,04;0,03;0,98;0,97
Aide Cook;0,82;1,00;0,85;0,06;0,07;0,98;0,03;0,00;0,00;0,94;0,97
Aide Cook;0,89;0,88;0,81;0,04;0,01;0,99;0,03;0,02;0,05;1,00;0,93
Aide Cook;0,93;1,00;0,79;0,06;0,10;0,90;0,00;0,10;0,05;1,00;0,87
Aide Cook;0,91;0,91;0,93;0,04;0,02;0,93;0,00;0,03;0,05;0,92;0,95
Aide Cook;1,00;0,93;0,92;0,02;0,06;0,91;0,06;0,10;0,05;0,99;0,83
Aide Cook;0,90;0,99;0,73;0,01;0,03;0,99;0,01;0,08;0,04;0,96;0,81
Aide Cook;0,75;0,75;0,98;0,04;0,10;0,89;0,01;0,06;0,00;1,00;0,82
Aide Cook;0,80;0,88;0,87;0,04;0,07;0,97;0,00;0,03;0,05;0,99;1,00
Aide Cook;0,86;0,84;0,87;0,04;0,02;0,98;0,02;0,06;0,04;0,96;0,97
Aide Cook;0,71;0,87;1,00;0,01;0,03;0,91;0,03;0,06;0,01;0,93;1,00
Aide Cook;0,77;0,91;0,82;0,03;0,10;0,91;0,02;0,04;0,04;0,95;0,82
Aide Cook;0,87;0,77;1,00;0,01;0,08;0,94;0,03;0,05;0,00;1,00;0,95
Aide Cook;0,94;0,74;0,77;0,04;0,03;0,93;0,05;0,03;0,01;0,95;0,99
Aide Cook;0,72;0,79;0,87;0,06;0,00;0,97;0,04;0,01;0,00;0,96;0,99
Aide Cook;0,73;0,99;0,71;0,07;0,01;0,90;0,06;0,07;0,01;0,95;0,92
Aide Cook;0,83;0,96;0,88;0,00;0,01;0,98;0,04;0,09;0,03;0,92;0,82
Aide Cook;0,93;0,75;0,93;0,03;0,09;0,94;0,02;0,07;0,01;0,99;0,90
Aide Cook;0,95;0,71;0,87;0,04;0,08;0,99;0,05;0,06;0,00;0,93;0,92
Aide Cook;0,84;0,80;0,75;0,07;0,01;0,95;0,03;0,07;0,03;0,93;0,89
Aide Cook;0,76;0,73;0,72;0,02;0,02;0,91;0,03;0,01;0,03;0,95;0,91
Aide Cook;0,74;0,85;0,71;0,00;0,05;0,93;0,00;0,05;0,03;1,00;0,99
Aide Cook;0,83;0,98;0,97;0,01;0,07;0,94;0,05;0,10;0,02;0,94;0,96
Aide Cook;0,91;0,80;0,94;0,05;0,10;1,00;0,03;0,02;0,02;0,97;0,84
Aide Cook;0,71;0,89;0,83;0,05;0,08;0,91;0,05;0,06;0,05;0,99;1,00
Aide Cook;0,75;0,71;0,90;0,03;0,01;1,00;0,05;0,02;0,05;0,99;0,95
Aide Cook;0,79;0,92;0,99;0,06;0,04;0,93;0,02;0,05;0,03;0,91;0,83
Aide Cook;0,98;0,72;0,92;0,05;0,01;0,98;0,01;0,01;0,04;0,93;0,86
Aide Cook;0,98;0,98;1,00;0,01;0,10;0,91;0,02;0,09;0,03;0,91;0,93
Aide Cook;0,80;0,78;0,71;0,06;0,00;0,98;0,04;0,02;0,03;0,99;1,00
Aide Cook;0,71;0,91;0,87;0,07;0,05;1,00;0,05;0,10;0,02;0,98;0,95
Aide Cook;0,83;0,76;0,71;0,00;0,10;0,98;0,03;0,06;0,01;0,93;0,95
Aide Cook;0,74;0,79;0,94;0,04;0,05;0,99;0,05;0,02;0,02;1,00;0,94
Aide Cook;0,71;0,98;0,83;0,04;0,04;0,97;0,04;0,01;0,02;0,91;1,00
Aide Cook;0,88;0,78;0,72;0,06;0,03;0,90;0,02;0,08;0,02;0,95;0,88
Aide Cook;0,99;0,96;0,90;0,04;0,02;0,95;0,05;0,10;0,04;0,93;0,86
Aide Cook;1,00;0,80;0,84;0,04;0,04;1,00;0,02;0,10;0,00;0,94;0,95
Aide Cook;0,89;0,91;1,00;0,04;0,05;0,91;0,00;0,06;0,00;0,94;0,95
Aide Cook;0,91;0,86;0,93;0,00;0,02;0,89;0,01;0,00;0,05;0,99;0,86
Aide Cook;0,95;0,76;0,78;0,06;0,06;1,00;0,00;0,04;0,03;0,97;0,91
Aide Cook;0,82;0,84;0,85;0,07;0,07;0,96;0,04;0,08;0,02;0,95;0,95
Aide Cook;1,00;0,94;0,78;0,05;0,02;0,91;0,01;0,10;0,05;0,96;0,84
Baker;0,92;0,80;0,79;0,04;0,06;0,99;0,01;0,02;0,01;0,87;0,92
Baker;0,91;0,73;0,85;0,09;0,01;0,97;0,07;0,04;0,00;0,83;1,00
Baker;0,88;0,79;0,86;0,04;0,06;0,90;0,03;0,01;0,04;0,88;0,90
Baker;0,73;0,86;0,92;0,09;0,08;0,92;0,06;0,07;0,04;0,99;0,98
Baker;0,73;0,96;0,94;0,08;0,07;0,90;0,09;0,04;0,07;0,81;0,90
Baker;0,94;0,75;0,78;0,08;0,08;0,98;0,01;0,00;0,02;0,89;0,90
Baker;0,82;0,73;0,97;0,03;0,02;0,90;0,09;0,07;0,01;0,81;0,98
Baker;0,71;0,81;0,74;0,09;0,02;1,00;0,04;0,01;0,05;0,83;0,90
Baker;0,94;0,91;0,96;0,04;0,07;0,94;0,08;0,03;0,02;0,86;0,91
Baker;0,73;0,88;0,89;0,04;0,04;0,98;0,07;0,02;0,07;0,90;0,97
Baker;0,91;0,99;0,97;0,10;0,10;1,00;0,01;0,01;0,01;0,90;0,90
Baker;0,80;0,73;0,88;0,07;0,09;1,00;0,06;0,06;0,07;0,93;0,97
Baker;0,97;0,85;0,86;0,05;0,06;0,98;0,09;0,01;0,02;0,97;0,95
Baker;0,95;0,88;0,73;0,00;0,06;1,00;0,00;0,06;0,04;0,86;0,96
Baker;0,97;0,79;0,91;0,02;0,01;0,97;0,04;0,01;0,00;0,95;0,93
Baker;0,88;0,62;0,73;0,06;0,00;0,99;0,00;0,07;0,05;0,90;0,91
Baker;0,69;0,68;0,87;0,09;0,10;0,91;0,06;0,04;0,05;1,00;0,94
Baker;0,62;0,62;0,89;0,04;0,10;0,95;0,10;0,07;0,03;0,82;0,94
Baker;0,89;0,79;1,00;0,05;0,00;0,99;0,10;0,03;0,01;0,87;0,96
Baker;0,84;0,93;1,00;0,02;0,09;0,91;0,05;0,04;0,03;0,85;0,95
Baker;0,99;0,93;1,00;0,00;0,01;0,94;0,00;0,08;0,06;0,91;0,91
Baker;0,72;0,96;0,88;0,09;0,03;0,90;0,07;0,01;0,05;0,98;0,98
Baker;0,88;0,75;0,80;0,02;0,02;0,93;0,08;0,07;0,01;0,96;1,00
Baker;0,89;0,98;0,73;0,00;0,02;0,89;0,04;0,00;0,01;0,95;0,99
Baker;0,80;0,95;0,82;0,01;0,05;0,93;0,01;0,00;0,05;0,83;0,95
Baker;0,80;0,86;0,79;0,02;0,09;0,95;0,00;0,04;0,07;0,89;0,90
Baker;0,68;0,68;0,71;0,06;0,08;1,00;0,02;0,05;0,04;0,88;0,99
Baker;0,77;0,94;0,84;0,07;0,02;0,94;0,07;0,05;0,02;0,92;0,96
Baker;0,87;0,81;0,98;0,01;0,10;0,90;0,00;0,07;0,02;0,92;0,90
Baker;0,76;0,66;0,78;0,06;0,01;1,00;0,05;0,08;0,05;0,91;0,93
Baker;0,76;0,66;0,98;0,08;0,02;0,99;0,03;0,00;0,07;0,81;0,96
Baker;0,92;0,67;0,98;0,01;0,08;0,95;0,00;0,04;0,06;0,90;0,98
